date, humidity, temperature, pressure
2016-11-09 21:23:55.872827, 38.319679260253906, 25.80245590209961, 993.88134765625
2016-11-09 21:34:14.988354, 37.953956604003906, 26.136974334716797, 993.924560546875
2016-11-09 21:44:34.519449, 37.85477828979492, 26.38181381225586, 993.87109375
2016-11-09 21:54:53.207137, 37.35888671875, 28.421320343017577, 993.90185546875
2016-11-09 22:05:12.876932, 37.63782501220703, 28.255838775634764, 993.847900390625
2016-11-09 22:15:32.976824, 37.59133529663086, 27.759394073486327, 993.856689453125
2016-11-09 22:25:52.998012, 38.34447479248047, 28.20423355102539, 993.738525390625
2016-11-09 22:36:12.216572, 38.530433654785156, 27.20778884887695, 993.941162109375
2016-11-09 22:46:31.586995, 39.07901382446289, 27.209566497802733, 993.85986328125
2016-11-09 22:56:51.684904, 39.18128967285156, 27.10101737976074, 993.808837890625
2016-11-09 23:07:10.469282, 39.423038482666016, 27.211341285705565, 993.9013671875
2016-11-09 23:17:29.937139, 38.35997009277344, 26.549073028564454, 993.807373046875
2016-11-09 23:27:50.249984, 38.273189544677734, 27.183419036865235, 993.725830078125
2016-11-09 23:38:10.556441, 37.56654357910156, 27.845517730712892, 993.747802734375
2016-11-09 23:48:30.180542, 39.001529693603516, 27.625048065185545, 993.833984375
2016-11-09 23:58:50.087526, 40.709259033203125, 26.797634506225585, 993.792236328125
2016-11-10 00:09:10.139467, 40.21026611328125, 26.821831893920898, 993.683837890625
2016-11-10 00:19:29.670293, 40.39002990722656, 26.628770065307616, 993.7880859375
2016-11-10 00:29:49.459775, 40.585289001464844, 26.656350326538085, 993.70947265625
2016-11-10 00:40:09.558260, 40.80223846435547, 26.463288497924804, 993.64208984375
2016-11-10 00:50:29.530497, 40.870426177978516, 26.080547714233397, 993.747314453125
2016-11-10 01:00:49.383987, 40.77434539794922, 26.79602928161621, 993.7509765625
2016-11-10 01:11:08.177131, 40.79914093017578, 26.465066146850585, 993.60400390625
2016-11-10 01:21:27.917809, 40.74335479736328, 26.409905624389648, 993.684326171875
2016-11-10 01:31:47.923965, 40.57289123535156, 26.242646408081054, 993.59765625
2016-11-10 01:42:07.778705, 40.885921478271484, 25.88410015106201, 993.77099609375
2016-11-10 01:52:26.318264, 41.18655776977539, 26.106519889831542, 993.68603515625
2016-11-10 02:02:45.766521, 40.935508728027344, 26.38232536315918, 993.6015625
2016-11-10 02:13:04.786023, 41.82191848754883, 26.106519889831542, 993.426025390625
2016-11-10 02:23:24.145822, 41.34462356567383, 26.351359367370605, 993.388916015625
2016-11-10 02:33:44.064609, 41.270240783691406, 25.94103832244873, 993.476806640625
2016-11-10 02:44:03.131477, 40.947906494140625, 26.078939628601074, 993.329833984375
2016-11-10 02:54:22.973310, 41.02849197387695, 26.078939628601074, 993.388427734375
2016-11-10 03:04:42.861188, 41.33842468261719, 25.554911804199218, 993.31005859375
2016-11-10 03:15:02.042623, 41.36631774902344, 25.94103832244873, 993.249755859375
2016-11-10 03:25:21.196434, 41.25164031982422, 25.637652587890624, 993.33154296875
2016-11-10 03:35:41.195471, 41.33842468261719, 25.610072326660156, 993.3603515625
2016-11-10 03:46:00.778849, 41.074981689453125, 25.554911804199218, 993.3896484375
2016-11-10 03:56:20.006737, 41.85291290283203, 25.7479736328125, 993.511962890625
2016-11-10 04:06:38.548098, 41.15556335449219, 25.52733154296875, 993.414794921875
2016-11-10 04:16:57.725971, 41.36631774902344, 25.72039337158203, 993.470458984375
2016-11-10 04:27:16.839460, 40.920013427734375, 25.692813110351562, 993.681640625
2016-11-10 04:37:35.886785, 40.97890090942383, 26.185877799987793, 993.620361328125
2016-11-10 04:47:55.769935, 41.270240783691406, 25.79975128173828, 993.71826171875
2016-11-10 04:58:14.789112, 40.687564849853516, 25.554911804199218, 993.712646484375
2016-11-10 05:08:33.986704, 41.22684860229492, 25.582492065429687, 993.85205078125
2016-11-10 05:18:53.995563, 41.45000076293945, 25.52733154296875, 993.81494140625
2016-11-10 05:29:13.190420, 41.07807922363281, 25.606689453125, 993.95458984375
2016-11-10 05:39:30.986867, 40.34354019165039, 26.0479736328125, 994.115966796875
2016-11-10 05:49:49.477546, 39.872440338134766, 26.24103832244873, 994.152587890625
2016-11-10 06:00:08.678784, 39.49742126464844, 26.16168041229248, 994.245361328125
2016-11-10 06:10:27.459257, 39.621395111083984, 26.437485885620116, 994.324951171875
2016-11-10 06:20:47.124848, 39.83525085449219, 26.35474510192871, 994.436279296875
2016-11-10 06:31:05.927329, 39.11620330810547, 26.740868759155273, 994.6083984375
2016-11-10 06:41:25.816021, 39.274269104003906, 26.57538719177246, 994.756103515625
2016-11-10 06:51:44.726488, 39.162696838378906, 26.57538719177246, 994.720458984375
2016-11-10 07:02:03.737316, 38.98603439331055, 26.520226669311523, 994.982421875
2016-11-10 07:12:23.359398, 39.122406005859375, 26.492646408081054, 995.128662109375
2016-11-10 07:22:43.228851, 39.627593994140625, 26.409905624389648, 995.2265625
2016-11-10 07:33:03.276914, 40.10179138183594, 26.299581718444824, 995.2275390625
